Id,NamePt,DescriptionPt,Image,Gi,Calories,Acidification,Carbohydrates,Ashes,Proteins,SaturedFats,MonounsaturatedFats,PolyunsaturatedFats,Cholesterol,TotalFat,DietaryFiber,Sugar,Gl,UnitOfMeasurement,IsRecipe,Icon,Keys,Type,A,Alanine,AlphaCarotene,Arginine,AsparticAcid,B1,B11,B12,B2,B3,B5,B6,B7,B9,BetaCarotene,C,Calcium,Choline,Copper,CryptoxanthinCarotene,Cystine,D,D2,D3,E,Fluoride,GlutamicAcid,Glutamine,Glycine,Histidine,Iron,Isoleucine,K,Leucine,Lycopene,Lysine,Magnesium,Manganese,Methionine,Phenylalanine,Phosphorus,Potassium,Proline,Selenium,Serine,Sodium,Threonine,Tryptophan,Tyrosine,Valine,Zinc,Description,Name
125,Mexerica,"",https://images.unsplash.com/photo-1564415900645-30612d54dd0c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=873&q=80,0,53,0,13.34,0,0.81,0.039,0,0,0,0.31,0,0,0,0,f,/images/food/tangerine.png,"mexerica, tangerina, bergamota, vergamota, laranja-mimosa, mandarina, fuxiqueira, poncã, manjerica, laranja-cravo, mimosa",4,34,28,101,68,129,0,0,0,0.036,0.376,0,0.078,0,0,155,26.7,37,10.2,0.042,0,2,0,0,0,0,0,61,0,19,11,0.15,17,0,28,0,32,12,0.039,2,18,20,166,74,0,33,2,16,2,15,21,0.07,"",""
126,Milho,"",https://images.unsplash.com/photo-1601171908052-92d5a595199b?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1146&q=80,0,98,0,17.1,0,3.2,0.197,0,0,0,2.4,4.6,0,0,0,f,/images/food/corn.svg,milho verde,1,13,304,23,135,252,0,0,0,0.057,1.683,0,0.139,0,0,66,5.5,3,29.1,0.049,0,27,0,0,0,0,0,655,0,131,91,0.45,133,0.4,358,0,141,26,0.167,69,155,77,218,301,0,158,1,133,23,126,191,0.62,"",""
127,Mistura para bolo,"","https://img.shoppub.io/w=1000,h=1000,q=80,f=auto/beirario/media/uploads/produtos/foto/bb4dcde9240cafile.png",0,418.63333,0,84.71391,2,6.1594205,2.095,1.8901666,0.813,0,6.1266665,1.7033334,0,0,0,f,/images/food/cake.svg,"mistura para bolo, mistura pronta para bolo, mistura de bolo, mistura pronta",5,0,0,0,0,0,0.17666666,0,0,0,1.5166667,0,1.5033333,0,0,0,0,58.879,0,0.15333334,0,0,0,0,0,0,0,0,0,0,0,1.2106667,0,0,0,0,0,27.922,0.46266666,0,0,332.65765,75.363,0,0,0,462.88,0,0,0,0,0.5826667,"",""
128,Molho de Limão e Mel para Salada,"",https://cdn.panelinha.com.br/receita/1619447331360-molho%2011.07.16.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/sauce.png,"molho de limão e mel para salada, molho de salada, molho para salada, molho pra   salada, molho de limão, molho de mel",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
129,Molho de tahine,"",https://cdn.panelinha.com.br/receita/1409799600000-Molho-de-tahine.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"",molho de tahine,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
130,Molho de tomate,"",https://images.unsplash.com/photo-1472476443507-c7a5948772fc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1050&q=80,0,18,0,3.89,0,0.88,0.028,0,0,0,0.2,0,0,0,1,f,/images/food/tomato-sauce.svg,"molho de tomate, extrato, extrato de tomate",0,42,27,101,21,135,0,0,0,0.019,0.594,0,0.08,0,0,449,13.7,10,6.7,0.059,0,9,0,0,0,0,0,431,0,19,14,0.27,18,7.9,25,2573,27,11,0.114,6,27,24,237,15,0,26,5,27,6,14,18,0.17,"",""
131,Morango,"",https://images.unsplash.com/photo-1591271300850-22d6784e0a7f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=667&q=80,53,0,0,6,0,0.67,0.015,0,0,0,0.3,0,0,2,0,f,/images/food/strawberry.svg,moranguinho,4,1,33,0,28,149,0,0,0,0.022,0.386,0,0.047,0,0,7,58.8,16,5.7,0.048,0,6,0,0,0,0,0,98,0,26,12,0.41,16,2.2,34,0,26,13,0.386,2,19,24,153,20,0,25,1,20,8,22,19,0.14,"",""
132,Semente de mostarda,"",https://media.swncdn.com/via/5884-istockgetty-images-plusrezkrr.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,/images/food/mustard-seed.png,"sementes de mostarda, mostarda em semente",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
133,Muhammara,"",https://cdn.panelinha.com.br/receita/1608246532491-Muhammara_receita.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f,"","muhammara, pasta de pimentão, pasta de pimentão vermelho, muhamara, mhammara",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
134,Noz,"",https://images.unsplash.com/photo-1524593656068-fbac72624bb0?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=2070&q=80,0,645.374,0,17.753,0,15.947,6.388,0,0,0,61.85,0,0,0,0,f,/images/food/walnut.png,"noz, nozes",1,3.128,732.599,0.132,2129.075,1793.392,0,0,0,0.308,3.789,0,0.441,0,0,38.678,1.278,101.586,41.013,1.145,0,220.264,0,0,0,0,0,3651.542,0,881.938,412.335,3.436,614.097,8.722,1140.088,0,538.326,174.89,3.744,218.943,811.454,378.458,617.313,721.145,0,853.744,2.996,533.921,166.96,493.392,759.912,3.348,"",""
